"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"110699","668942","Josh Rojas",27,"ARI","0.6","87","12",139,550,484,69,11,44,9,".264",".341",".411",".752",".147","24.9","10.5","2.4","23.6"
"105256","658069","Joshua Fuentes",28,"COL","0.6","80","14",95,284,271,30,7,33,"0",".225",".257",".351",".608",".125","22.9","4.2","5.4","27.2"
"106503","664238","Dylan Moore",28,"SEA","0.6","83","13",126,377,332,42,12,43,21,".181",".276",".334",".610",".154","29.4","10.6","2.8","25.9"
"105665","641432","Willie Calhoun",26,"TEX","0.6","100","12",75,284,260,26,6,25,"0",".250",".310",".381",".691",".131","12.0","7.4","1.6","16.1"
"105440","621466","DJ Stewart",27,"BAL","0.6","92","16",100,318,270,39,12,33,"0",".204",".324",".374",".698",".170","28.0","13.8","2.0","31.7"
"102940","642423","Magneuris Sierra",25,"MIA","0.6","72","12",123,225,209,27,"0",5,11,".230",".281",".268",".549",".038","22.2","6.7","3.3","22.5"
"59432","545361","Mike Trout",29,"LAA","0.6","123","24",36,146,117,23,8,18,2,".333",".466",".624","1.090",".291","28.1","18.5","1.5","27.5"
"106844","660821","Jesús Sánchez",23,"MIA","0.6","94","21",64,251,227,27,14,36,"0",".251",".319",".489",".808",".238","31.1","8.0","3.9","29.4"
"104450","650859","Luis Rengifo",24,"LAA","0.6","87","15",54,190,174,22,6,18,1,".201",".246",".310",".556",".109","20.0","4.7","4.2","27.2"
"57396","518792","Jason Heyward",31,"CHC","0.6","83","12",104,353,323,35,8,30,5,".214",".280",".347",".627",".133","19.3","7.6","2.5","23.8"
"69854","607054","Jace Peterson",31,"MIL","0.5","90","12",94,302,259,36,6,31,10,".247",".348",".367",".714",".120","22.5","12.6","1.8","27.3"
"105891","621453","Steven Duggar",27,"SF","0.5","79","14",107,297,268,45,8,35,7,".257",".330",".437",".766",".179","29.6","9.1","3.3","28.0"
"108097","641786","Kyle Lewis",25,"SEA","0.5","101","19",36,147,130,15,5,11,2,".246",".333",".392",".726",".146","25.2","10.9","2.3","34.2"
"50677","501303","Ehire Adrianza",31,"ATL","0.5","98","15",109,209,182,32,5,28,"0",".247",".327",".401",".728",".154","20.1","10.0","2.0","21.1"
"60635","571976","Wil Myers",30,"SD","0.5","97","12",146,500,442,56,17,63,8,".256",".334",".434",".768",".179","28.2","10.8","2.6","32.0"
"67418","593643","Hanser Alberto",28,"KC","0.5","94","11",103,255,241,25,2,24,3,".270",".291",".402",".693",".133","10.2","1.6","6.5","15.6"
"105420","656537","Derek Hill",25,"DET","0.5","79","17",49,150,139,19,3,14,6,".259",".313",".388",".702",".129","28.0","6.7","4.2","27.3"
"104121","650331","Lewin Díaz",24,"MIA","0.5","87","22",40,128,122,16,8,13,"0",".205",".242",".451",".693",".246","25.8","4.7","5.5","28.8"
"70378","592200","Curt Casali",32,"SF","0.5","83","16",77,231,200,20,5,26,"0",".210",".313",".350",".663",".140","28.6","11.3","2.5","29.7"
"101604","624414","Christian Arroyo",26,"BOS","0.5","95","18",57,181,164,22,6,25,1,".262",".324",".445",".769",".183","24.3","4.4","5.5","26.7"
"103221","642727","Sergio Alcántara",24,"CHC","0.5","81","14",89,255,220,30,5,17,3,".205",".303",".327",".630",".123","29.0","11.8","2.5","30.1"
"48082","455117","Martín Maldonado",34,"HOU","0.5","77","12",125,426,373,40,12,36,"0",".172",".272",".300",".573",".129","29.8","11.0","2.7","28.8"
"107293","665750","Leody Taveras",22,"TEX","0.5","62","14",49,185,174,14,3,9,10,".161",".207",".270",".477",".109","32.4","4.9","6.7","26.9"
"103340","643265","Garrett Cooper",30,"MIA","0.5","106","18",71,250,215,30,9,33,1,".284",".380",".465",".845",".181","27.2","12.0","2.3","27.2"
"110298","676801","Chas McCormick",26,"HOU","0.5","90","16",108,320,284,47,14,50,4,".257",".319",".447",".766",".190","32.5","7.8","4.2","35.5"
"66085","553902","Willians Astudillo",29,"MIN","0.5","107","15",72,216,208,17,7,21,"0",".236",".259",".375",".634",".139","5.6","1.4","4.0","10.4"
"69159","542932","Jon Berti",31,"MIA","0.5","84","13",85,271,233,35,4,19,8,".210",".311",".313",".624",".103","22.5","11.8","1.9","21.7"
"50910","501659","Abraham Almonte",32,"ATL","0.5","102","18",64,175,148,20,5,19,1,".216",".331",".399",".730",".182","21.7","14.9","1.5","23.2"
"66263","570481","Erik González",29,"PIT","0.5","80","13",71,229,220,17,2,21,2,".232",".258",".300",".558",".068","17.5","3.5","5.0","25.6"
"102606","641645","Luis Guillorme",26,"NYM","0.5","101","14",69,156,132,13,1,5,"0",".265",".374",".311",".685",".045","14.7","14.7","1.0","14.9"
"108855","666915","Bobby Dalbec",26,"BOS","0.5","92","14",133,453,417,50,25,78,2,".240",".298",".494",".792",".254","34.4","6.2","5.6","38.2"
"57476","519048","Mitch Moreland",35,"OAK","0.4","92","14",81,252,229,28,10,30,"0",".227",".286",".415",".701",".188","23.0","7.1","3.2","30.4"
"102764","642133","Rowdy Tellez",26,,"0.4","96","12",106,325,297,34,11,36,"0",".242",".305",".414",".719",".172","20.0","7.1","2.8","23.3"
"109602","676391","Ernie Clement",25,"CLE","0.4","99","17",40,133,121,16,3,9,"0",".231",".285",".339",".624",".107","14.3","5.3","2.7","16.5"
"68192","596847","Ji-Man Choi",30,"TB","0.4","95","14",83,305,258,36,11,45,"0",".229",".348",".411",".758",".182","28.5","14.8","1.9","31.9"
"67700","594694","Wilmer Difo",29,"PIT","0.4","89","14",116,240,219,25,4,24,1,".269",".329",".384",".713",".114","22.5","8.3","2.7","28.3"
"110358","676694","Jake Meyers",25,"HOU","0.4","85","19",49,163,146,22,6,28,3,".260",".323",".438",".761",".178","30.7","6.1","5.0","29.2"
"67762","594838","Phil Gosselin",32,"LAA","0.4","89","11",104,373,345,40,7,47,4,".261",".314",".362",".676",".101","21.7","6.4","3.4","21.1"
