last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Rosario, Amed,642708,2021,588,434,.282,.260,0.022,.409,.360,0.049,.315,.296,0.019
Iglesias, José,578428,2021,511,409,.271,.267,0.004,.391,.362,0.029,.304,.296,0.008
Hayes, Ke'Bryan,663647,2021,396,277,.257,.244,0.013,.373,.360,0.013,.301,.296,0.005
Moreland, Mitch,519048,2021,252,174,.227,.225,0.002,.415,.389,0.026,.300,.296,0.004
Bauers, Jake,641343,2021,315,204,.209,.230,-0.021,.277,.355,-0.078,.256,.296,-0.040
Rojas, Josh,668942,2021,550,351,.264,.233,0.031,.411,.350,0.061,.325,.295,0.030
García, Adolis,666969,2021,622,391,.243,.217,0.026,.454,.410,0.044,.314,.295,0.019
Myers, Wil,571976,2021,500,305,.256,.216,0.040,.434,.364,0.070,.330,.294,0.036
Solak, Nick,669256,2021,511,355,.242,.231,0.011,.362,.347,0.015,.299,.294,0.005
Kiner-Falefa, Isiah,643396,2021,677,548,.271,.265,0.006,.357,.348,0.009,.293,.292,0.001
Bader, Harrison,664056,2021,401,284,.267,.228,0.039,.460,.386,0.074,.331,.292,0.039
O'Hearn, Ryan,656811,2021,254,168,.225,.232,-0.007,.369,.390,-0.021,.274,.292,-0.018
Alberto, Hanser,593643,2021,255,221,.270,.261,0.009,.402,.378,0.024,.296,.291,0.005
Rojas, Miguel,500743,2021,539,423,.265,.247,0.018,.392,.341,0.051,.311,.291,0.020
Peralta, David,444482,2021,538,397,.259,.240,0.019,.402,.339,0.063,.314,.291,0.023
Grichuk, Randal,545341,2021,545,401,.241,.229,0.012,.423,.389,0.034,.300,.291,0.009
García, Leury,544725,2021,474,332,.267,.236,0.031,.376,.331,0.045,.312,.290,0.022
Heredia, Guillermo,628338,2021,347,225,.220,.219,0.001,.354,.335,0.019,.292,.290,0.002
Heyward, Jason,518792,2021,353,255,.214,.229,-0.015,.347,.357,-0.010,.275,.290,-0.015
Daza, Yonathan,602074,2021,331,248,.282,.256,0.026,.355,.329,0.026,.304,.289,0.015
Caratini, Victor,605170,2021,356,235,.227,.226,0.001,.323,.348,-0.025,.273,.289,-0.016
Gardner, Brett,458731,2021,461,298,.222,.210,0.012,.362,.308,0.054,.305,.289,0.016
Murphy, Tom,608596,2021,325,181,.202,.193,0.009,.350,.343,0.007,.288,.289,-0.001
McKinney, Billy,641856,2021,300,188,.192,.210,-0.018,.358,.352,0.006,.277,.289,-0.012
Alfaro, Jorge,595751,2021,311,196,.244,.240,0.004,.342,.370,-0.028,.274,.288,-0.014
Hampson, Garrett,641658,2021,494,340,.234,.232,0.002,.380,.365,0.015,.288,.288,0.000
Castro, Willi,650489,2021,450,310,.220,.241,-0.021,.351,.355,-0.004,.271,.287,-0.016
Robles, Victor,645302,2021,369,235,.203,.212,-0.009,.295,.309,-0.014,.274,.286,-0.012
Moore, Dylan,664238,2021,377,222,.181,.200,-0.019,.334,.338,-0.004,.271,.286,-0.015
Mejía, Francisco,642336,2021,277,204,.260,.229,0.031,.416,.341,0.075,.320,.285,0.035
Gosselin, Phil,594838,2021,373,265,.261,.234,0.027,.362,.344,0.018,.297,.284,0.013
Trevino, Jose,624431,2021,302,233,.239,.248,-0.009,.340,.368,-0.028,.261,.284,-0.023
Odor, Rougned,596059,2021,361,223,.202,.196,0.006,.379,.359,0.020,.289,.284,0.005
Heim, Jonah,641680,2021,285,211,.196,.229,-0.033,.358,.368,-0.010,.256,.284,-0.028
Cabrera, Asdrúbal,452678,2021,352,233,.230,.211,0.019,.366,.324,0.042,.297,.283,0.014
Brinson, Lewis,621446,2021,290,204,.226,.239,-0.013,.376,.364,0.012,.275,.283,-0.008
McCann, James,543510,2021,412,263,.232,.221,0.011,.349,.338,0.011,.281,.282,-0.001
Lopez, Nicky,670032,2021,565,438,.300,.236,0.064,.378,.301,0.077,.329,.281,0.048
Wendle, Joey,621563,2021,501,350,.265,.234,0.031,.422,.346,0.076,.317,.281,0.036
Galvis, Freddy,520471,2021,394,284,.242,.222,0.020,.407,.349,0.058,.305,.281,0.024
Lagares, Juan,501571,2021,327,238,.236,.242,-0.006,.372,.367,0.005,.274,.281,-0.007
Biggio, Cavan,624415,2021,294,177,.224,.203,0.021,.356,.321,0.035,.297,.281,0.016
Chang, Yu,644374,2021,251,169,.228,.230,-0.002,.426,.373,0.053,.294,.280,0.014
Tsutsugo, Yoshi,660294,2021,262,160,.217,.193,0.024,.383,.340,0.043,.302,.280,0.022
Phillips, Brett,621433,2021,292,144,.206,.175,0.031,.427,.348,0.079,.313,.280,0.033
Fletcher, David,664058,2021,665,573,.262,.268,-0.006,.324,.316,0.008,.273,.279,-0.006
Kiermaier, Kevin,595281,2021,390,253,.259,.227,0.032,.388,.310,0.078,.310,.279,0.031
Holt, Brock,571788,2021,260,187,.209,.227,-0.018,.298,.313,-0.015,.259,.279,-0.020
Tapia, Raimel,606132,2021,533,422,.273,.246,0.027,.372,.314,0.058,.305,.278,0.027
Gonzalez, Marwin,503556,2021,307,200,.199,.216,-0.017,.304,.327,-0.023,.259,.278,-0.019
Bellinger, Cody,641355,2021,350,224,.165,.204,-0.039,.302,.346,-0.044,.237,.278,-0.041
García, Luis,671277,2021,247,193,.242,.239,0.003,.411,.360,0.051,.291,.277,0.014
Pillar, Kevin,607680,2021,347,245,.231,.222,0.009,.415,.363,0.052,.297,.277,0.020
Newman, Kevin,621028,2021,554,485,.226,.255,-0.029,.309,.330,-0.021,.249,.277,-0.028
Vázquez, Christian,543877,2021,498,379,.258,.234,0.024,.352,.334,0.018,.289,.276,0.013
Panik, Joe,605412,2021,257,204,.208,.238,-0.030,.284,.323,-0.039,.244,.275,-0.031
Eaton, Adam,594809,2021,288,188,.201,.215,-0.014,.327,.306,0.021,.271,.274,-0.003
Alcántara, Sergio,642727,2021,255,149,.205,.205,0.000,.327,.291,0.036,.279,.273,0.006
Díaz, Isan,656371,2021,278,170,.193,.204,-0.011,.282,.305,-0.023,.252,.273,-0.021
VanMeter, Josh,642165,2021,310,193,.212,.200,0.012,.354,.314,0.040,.287,.272,0.015
Gregorius, Didi,544369,2021,408,308,.209,.220,-0.011,.370,.320,0.050,.275,.271,0.004
Maldonado, Martín,455117,2021,426,247,.172,.186,-0.014,.300,.313,-0.013,.258,.271,-0.013
Culberson, Charlie,518586,2021,271,188,.243,.228,0.015,.381,.318,0.063,.292,.269,0.023
Franco, Maikel,596748,2021,403,313,.210,.223,-0.013,.355,.339,0.016,.263,.268,-0.005
Valaika, Pat,642162,2021,281,187,.201,.214,-0.013,.290,.334,-0.044,.238,.267,-0.029
Barnhart, Tucker,571466,2021,388,251,.247,.203,0.044,.368,.310,0.058,.300,.264,0.036
Kim, Ha-Seong,673490,2021,298,201,.202,.208,-0.006,.352,.304,0.048,.270,.264,0.006
Suzuki, Kurt,435559,2021,247,180,.224,.205,0.019,.342,.303,0.039,.282,.262,0.020
Gutierrez, Kelvin,642721,2021,295,196,.232,.214,0.018,.316,.300,0.016,.270,.261,0.009
Simmons, Andrelton,592743,2021,451,354,.223,.229,-0.006,.274,.279,-0.005,.252,.261,-0.009
Nuñez, Dom,624513,2021,263,138,.189,.169,0.020,.399,.303,0.096,.294,.259,0.035
Torreyes, Ronald,591720,2021,344,283,.242,.231,0.011,.346,.299,0.047,.274,.257,0.017
Bradley Jr., Jackie,598265,2021,428,258,.163,.196,-0.033,.261,.289,-0.028,.224,.255,-0.031
Ahmed, Nick,605113,2021,473,333,.221,.205,0.016,.339,.286,0.053,.269,.248,0.021
Mayfield, Jack,608686,2021,290,202,.218,.186,0.032,.387,.311,0.076,.284,.247,0.037
Hedges, Austin,595978,2021,312,209,.178,.193,-0.015,.308,.284,0.024,.227,.229,-0.002
Fuentes, Joshua,658069,2021,284,207,.225,.201,0.024,.351,.275,0.076,.261,.228,0.033
