Game,Team,Stat,Data
360413127,COL,DP, 1 (Arenado-LeMahieu-Paulsen)
360413119,ARI,E," Ahmed (1, throw); Goldschmidt (1, missed catch); Castillo (2, pop up)"
360413119,ARI,DP," 2 (Ahmed-Goldschmidt, Castillo-Lamb)"
360413119,LAD,DP, 1 (Seager-Utley-Gonzalez)
360414123,DET,E," Romine 2 (2, ground ball, dropped foul ball)"
360414123,DET,DP, 1 (Kinsler-Romine-Cabrera)
360414123,DET,Assists, Collins (Jaso at Home)
360414123,PIT,E," Cole (1, throw)"
360414123,PIT,DP, 1 (Mercer-Harrison-Jaso)
360414123,PIT,Assists, McCutchen (Castellanos at 3rd base)
360414122,SD,E," Jay (1, fly ball)"
360414122,SD,DP, 1 (Norris-Amarista)
360414109,CHW,E," Albers (1, throw)"
360414109,MIN,E," Escobar (4, throw)"
360414109,MIN,DP, 1 (Escobar-Dozier-Park)
360414130,CLE,Assists, Byrd (Conger at 2nd base)
360414130,TB,E," Conger (1, throw); Miller (1, ground ball)"
360414130,TB,DP," 2 (Morrison, Webb-Forsythe-Morrison)"
360414124,STL,DP, 1 (Carpenter-Wong-Adams)
360414127,SF,E," Pagán (1, throw)"
360414127,SF,DP, 1 (Adrianza-Tomlinson-Belt)
360414127,COL,E," De La Rosa 2 (2, ground ball 2); Qualls (1, ground ball)"
360414127,COL,DP, 1 (LeMahieu-Reynolds)
360414116,CIN,E," Phillips (1, ground ball); Bruce (2, throw)"
360414116,CIN,DP, 1 (Bruce-Suárez)
360414116,CIN,Assists, Bruce (Fowler at 2nd base)
360414113,TEX,DP," 2 (Andrus-Odor-Moreland, Odor-Andrus-Moreland)"
360414118,KC,DP," 3 (Pérez-Infante, Escobar-Hosmer, Infante-Escobar-Hosmer)"
360414118,KC,Assists, Orlando (Springer at 2nd base)
360414119,ARI,E," Ray (1, throw)"
360414119,ARI,DP," 3 (Ahmed-Goldschmidt, Goldschmidt-Ahmed-Goldschmidt, Segura-Ahmed-Goldschmidt)"
360414119,LAD,DP, 1 (Barnes-Gonzalez)
360415116,COL,E," Bettis (1, throw)"
360415116,CHC,E," Bryant 2 (3, throw, ground ball); Russell (1, throw); Rizzo (1, ground ball)"
360415116,CHC,DP," 2 (Russell-Zobrist-Rizzo, Rizzo-Russell-Rizzo-Russell)"
360415116,CHC,PB, Montero
360415110,NYY,E," Gregorius (1, ground ball)"
360415110,NYY,DP," 3 (Gregorius-Teixeira, Castro-Gregorius, Gregorius)"
360415122,WSH,E," Espinosa (2, throw)"
360415122,PHI,E," Franco (1, ground ball)"
360415122,PHI,Assists, Hunter (Espinosa at 2nd base)
360415123,MIL,E," Villar (1, ground ball); Gennett (2, catch)"
360415123,PIT,E," Cervelli (3, catchers interference)"
360415123,PIT,DP," 2 (Harrison-Mercer-Jaso, Mercer-Harrison-Jaso)"
360415102,TOR,E," Donaldson (1, throw)"
360415102,TOR,DP," 2 (Dickey-Tulowitzki-Smoak, Tulowitzki-Goins-Smoak)"
360415102,TOR,Assists, Pillar (Shaw at 3rd base)
360415102,TOR,PB, Thole
360415102,BOS,DP, 1 (Vázquez-H. Ramírez)
360415105,NYM,E," Conforto (1, throw); Wright (2, throw)"
360415105,CLE,E," Lindor (1, ground ball)"
360415105,CLE,Assists, Byrd (Walker at Home); Davis (De Aza at Home)
360415105,CLE,PB, Gomes
360415128,ATL,E," García 2 (4, throw, ground ball)"
